LOCATION_NAME,TSN,X_COORD,Y_COORD,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESS,TRANSPORT
Aberdeen Station,233610,150.8920522,-32.16710358,Coach1192,02 6543 1018,"New England Hwy, Aberdeen",2004|2017|2009,3001|3009|3011,Train
Adamstown Station,228920,151.7200807,-32.93372988,Coach1159,02 4962 9295,"Park Ave, Adamstown",2003|2004|2005|2006|2017,3001|3004|3008|3009|3011|3016,Train|Bus
Albion Park Station,252710,150.7984997,-34.56264671,Coach1381,02 4223 5416,"Princes Hwy, Albion Park",2002|2003|2004|2005|2006|2015|2008|2009,3001|3004|3008|3009|3011,Train|Bus
Allawah Station,222020,151.11433,-33.96958391,Coach1338,02 9563 7415,"Railway Pde, Allawah",2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus
Arncliffe Station,220520,151.1472995,-33.93645619,Coach1333,02 9563 7431,"Firth St, Arncliffe",2002|2003|2004|2005|2006|2015|2008,3003|3008|3009|3010|3011,Train|Bus|Taxi rank
Artarmon Station,206410,151.1852939,-33.80890264,Coach1116,02 9379 1140,"Hampden Rd, Artarmon",2001|2002|2004|2005|2006|2015|2008|2011|2013,3001|3003|3008|3009|3011,Train|Taxi rank
Ashfield Station,213110,151.1255042,-33.88755061,Coach1209,02 9752 8356,"Brown St, Ashfield",2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Asquith Station,207730,151.1080252,-33.68876996,Coach1128,02 9847 8495,"Haldane St, Asquith",2003|2004|2005|2006|2015|2008|2009,3003|3006|3010|3011|3017,Train
Auburn Station,214410,151.032867,-33.8492696,Coach1219,02 9848 9206,"Rawson St, Auburn",2001|2002|2004|2005|2006|2015|2008|2012|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Austinmer Station,251540,150.9293128,-34.30641046,Coach1363,02 4223 5573,"Railway Ave, Austinmer",2002|2003|2004|2017|2008|2009,3009|3010|3011,Train|Bus
Awaba Station,228310,151.5416347,-33.0129204,Coach1150,02 4349 9241,"Adelaide St, Awaba",2003|2004|2017,3008|3010|3011|3016,Train|Bus
Banksia Station,221610,151.1404316,-33.94528645,Coach1334,02 9563 7429,"Hattersley St, Banksia",2002|2004|2006|2015|2008|2009,3003|3008|3009|3010|3011,Train|Bus|Taxi rank
Bankstown Station,220010,151.0346869,-33.91786454,Coach1401,02 9563 7160,"North Tce, Bankstown",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Bardwell Park Station,220710,151.1248574,-33.93161666,Coach1410,02 9563 7428,"Hartill-Law Ave, Bardwell Park",2003|2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus
Bargo Station,257420,150.5802091,-34.29136493,Coach1303,02 4684 1320,"Hume Hwy, Bargo",2003|2004|2017|2008|2009,3010|3011|3015,Train|Bus
Bathurst Station,279538,149.5832161,-33.42562703,Coach1281,02 6334 8600,"Keppel St, Bathurst",2002|2003|2006|2017|2008|2009|2010|2012|2013,3001|3006|3011,Train|Coach|Bus|Taxi rank
Beecroft Station,211910,151.0662982,-33.74995417,Coach1197,02 9847 8421,"Wongala Cr, Beecroft",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3003|3008|3010|3011,Train|Bus|Taxi rank
Bell Station,278620,150.2788861,-33.50568554,Coach1272,02 4787 8452,"Bells Line of Road, Bell",2004|2017,3004|3010|3011|3016,Train
Bellambi Station,251810,150.9099025,-34.36331842,Coach1367,02 4223 5579,"Bellambi Lane, Bellambi",2003|2004|2006|2017|2008|2009,3004|3009|3010|3011|3017,Train|Bus|Taxi rank
Belmore Station,219210,151.0887332,-33.91721798,Coach1397,02 9563 7578,"Burwood Rd, Belmore",2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Berala Station,214120,151.0324418,-33.87183567,Coach1390,02 9752 8813,"Woodburn Rd, Berala",2002|2004|2005|2006|2015|2008,3003|3008|3009|3010|3011,Train|Bus|Taxi rank
Beresfield Station,232230,151.6578627,-32.79894599,Coach1172,02 4962 9944,"Addison St, Beresfield",2003|2004|2006|2015|2008|2010|2011,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
